[TOKEN] Línea 1: Tipo=PACKAGE, Valor=package
[TOKEN] Línea 20: Tipo=LPAREN, Valor=(
[TOKEN] Línea 20: Tipo=STRING, Valor="Día seleccionado:"
[TOKEN] Línea 20: Tipo=COMMA, Valor=,
[TOKEN] Línea 20: Tipo=VARIABLE, Valor=dia
[TOKEN] Línea 20: Tipo=RPAREN, Valor=)
[TOKEN] Línea 22: Tipo=SWITCH, Valor=switch
[TOKEN] Línea 22: Tipo=VARIABLE, Valor=dia
[TOKEN] Línea 22: Tipo=LBRACE, Valor={
[TOKEN] Línea 23: Tipo=CASE, Valor=case
[TOKEN] Línea 23: Tipo=NUMBER, Valor=1
[TOKEN] Línea 23: Tipo=COLON, Valor=:
[TOKEN] Línea 24: Tipo=FMT, Valor=fmt
[TOKEN] Línea 24: Tipo=DOT, Valor=.
[TOKEN] Línea 24: Tipo=PRINTLN, Valor=Println
[TOKEN] Línea 24: Tipo=LPAREN, Valor=(
[TOKEN] Línea 24: Tipo=STRING, Valor="Actividad: Consulta médica"
[TOKEN] Línea 24: Tipo=RPAREN, Valor=)
[TOKEN] Línea 25: Tipo=CASE, Valor=case
[TOKEN] Línea 25: Tipo=NUMBER, Valor=2
[TOKEN] Línea 25: Tipo=COLON, Valor=:
[TOKEN] Línea 26: Tipo=FMT, Valor=fmt
[TOKEN] Línea 26: Tipo=DOT, Valor=.
[TOKEN] Línea 26: Tipo=PRINTLN, Valor=Println
[TOKEN] Línea 26: Tipo=LPAREN, Valor=(
[TOKEN] Línea 26: Tipo=STRING, Valor="Actividad: Taller de bienestar"
[TOKEN] Línea 26: Tipo=RPAREN, Valor=)
[TOKEN] Línea 27: Tipo=CASE, Valor=case
[TOKEN] Línea 27: Tipo=NUMBER, Valor=3
[TOKEN] Línea 27: Tipo=COLON, Valor=:
[TOKEN] Línea 28: Tipo=FMT, Valor=fmt
[TOKEN] Línea 28: Tipo=DOT, Valor=.
[TOKEN] Línea 28: Tipo=PRINTLN, Valor=Println
[TOKEN] Línea 28: Tipo=LPAREN, Valor=(
[TOKEN] Línea 28: Tipo=STRING, Valor="Actividad: Atención al cliente"
[TOKEN] Línea 28: Tipo=RPAREN, Valor=)
[TOKEN] Línea 29: Tipo=DEFAULT, Valor=default
[TOKEN] Línea 29: Tipo=COLON, Valor=:
[TOKEN] Línea 30: Tipo=FMT, Valor=fmt
[TOKEN] Línea 30: Tipo=DOT, Valor=.
[TOKEN] Línea 30: Tipo=PRINTLN, Valor=Println
[TOKEN] Línea 30: Tipo=LPAREN, Valor=(
[TOKEN] Línea 30: Tipo=STRING, Valor="Día no válido"
[TOKEN] Línea 30: Tipo=RPAREN, Valor=)
[TOKEN] Línea 31: Tipo=RBRACE, Valor=}
[TOKEN] Línea 33: Tipo=RBRACE, Valor=}
[TOKEN] Línea 33: Tipo=ELSE, Valor=else
[TOKEN] Línea 33: Tipo=LBRACE, Valor={
[TOKEN] Línea 34: Tipo=FMT, Valor=fmt
[TOKEN] Línea 34: Tipo=DOT, Valor=.
[TOKEN] Línea 34: Tipo=PRINTLN, Valor=Println
[TOKEN] Línea 34: Tipo=LPAREN, Valor=(
[TOKEN] Línea 34: Tipo=STRING, Valor="Acceso denegado ❌. Solo mayores de edad pueden seleccionar un día."
[TOKEN] Línea 34: Tipo=RPAREN, Valor=)
[TOKEN] Línea 35: Tipo=RBRACE, Valor=}
[TOKEN] Línea 36: Tipo=RBRACE, Valor=}
